nombre,poblacion,superficie,continente
Estados Unidos,340000000,9630000,América del Norte
China,1416000000,9390000,Asia
Alemania,83000000,357000,Europa
Japón,125000000,378000,Asia
India,1464000000,2970000,Asia
Reino Unido,67000000,243000,Europa
Francia,65000000,643801,Europa
Italia,60000000,301000,Europa
Canadá,39000000,9980000,América del Norte
Brasil,213000000,8510000,América del Sur
Corea del Sur,51000000,100000,Asia
Australia,26000000,7690000,Oceanía
España,47000000,505000,Europa
México,131000000,1960000,América del Norte
